UniProt_Accession	UniProt_Entry_Name	Gene_Symbol
P30101	PDIA3_HUMAN	PDIA3
P30153	2AAA_HUMAN	PPP2R1A
P30260	CDC27_HUMAN	CDC27
P30405	PPIF_HUMAN	PPIF
P30622	CLIP1_HUMAN	CLIP1
P30837	AL1B1_HUMAN	ALDH1B1
P30876	RPB2_HUMAN	POLR2B
P31040	SDHA_HUMAN	SDHA
P31153	METK2_HUMAN	MAT2A
P31689	DNJA1_HUMAN	DNAJA1
P31930	QCR1_HUMAN	UQCRC1
P31941	ABC3A_HUMAN	APOBEC3A
P31942	HNRH3_HUMAN	HNRNPH3
P31943	HNRH1_HUMAN	HNRNPH1
P31944	CASPE_HUMAN	CASP14
P31946	1433B_HUMAN	YWHAB
P31948	STIP1_HUMAN	STIP1
P32119	PRDX2_HUMAN	PRDX2
P32322	P5CR1_HUMAN	PYCR1
P32455	GBP1_HUMAN	GBP1
P32969	RL9_HUMAN	RPL9; RPL9P7; RPL9P8; RPL9P9
P33176	KINH_HUMAN	KIF5B
P33240	CSTF2_HUMAN	CSTF2
P33316	DUT_HUMAN	DUT
P33991	MCM4_HUMAN	MCM4
P33992	MCM5_HUMAN	MCM5
P33993	MCM7_HUMAN	MCM7
P34931	HS71L_HUMAN	HSPA1L
P34932	HSP74_HUMAN	HSPA4
P35030	TRY3_HUMAN	PRSS3
P35080	PROF2_HUMAN	PFN2
P35221	CTNA1_HUMAN	CTNNA1
P35222	CTNB1_HUMAN	CTNNB1
P35232	PHB1_HUMAN	PHB1
P35244	RFA3_HUMAN	RPA3
P35249	RFC4_HUMAN	RFC4
P35250	RFC2_HUMAN	RFC2
P35251	RFC1_HUMAN	RFC1
P35268	RL22_HUMAN	RPL22
P35269	T2FA_HUMAN	GTF2F1
P35527	K1C9_HUMAN	KRT9
P35573	GDE_HUMAN	AGL
P35579	MYH9_HUMAN	MYH9
P35580	MYH10_HUMAN	MYH10
P35606	COPB2_HUMAN	COPB2
P35611	ADDA_HUMAN	ADD1
P35613	BASI_HUMAN	BSG
P35637	FUS_HUMAN	FUS
P35659	DEK_HUMAN	DEK
P35813	PPM1A_HUMAN	PPM1A
P35998	PRS7_HUMAN	PSMC2
P36542	ATPG_HUMAN	ATP5F1C
P36578	RL4_HUMAN	RPL4
P36776	LONM_HUMAN	LONP1
P36873	PP1G_HUMAN	PPP1CC
P37108	SRP14_HUMAN	SRP14
P37198	NUP62_HUMAN	NUP62
P37802	TAGL2_HUMAN	TAGLN2
P38159	RBMX_HUMAN	RBMX
P38606	VATA_HUMAN	ATP6V1A
P38646	HSPA9_HUMAN	HSPA9
P38919	IF4A3_HUMAN	EIF4A3
P38935	SMBP2_HUMAN	IGHMBP2
P39019	RS19_HUMAN	RPS19
P39023	RL3_HUMAN	RPL3
P39656	OST48_HUMAN	DDOST
P40222	TXLNA_HUMAN	TXLNA
P40227	TCPZ_HUMAN	CCT6A
P40429	RL13A_HUMAN	RPL13A
P40855	PEX19_HUMAN	PEX19
P40926	MDHM_HUMAN	MDH2
P40938	RFC3_HUMAN	RFC3
P40939	ECHA_HUMAN	HADHA
P41208	CETN2_HUMAN	CETN2
P41250	GARS_HUMAN	GARS1
P41252	SYIC_HUMAN	IARS1
P41567	EIF1_HUMAN	EIF1
P42025	ACTY_HUMAN	ACTR1B
P42166	LAP2A_HUMAN	TMPO
P42285	MTREX_HUMAN	MTREX
P42677	RS27_HUMAN	RPS27
P42696	RBM34_HUMAN	RBM34
P42704	LPPRC_HUMAN	LRPPRC
P42766	RL35_HUMAN	RPL35
P42771	CDN2A_HUMAN	CDKN2A
P43243	MATR3_HUMAN	MATR3
P43307	SSRA_HUMAN	SSR1
P43487	RANG_HUMAN	RANBP1
P43686	PRS6B_HUMAN	PSMC4
P45880	VDAC2_HUMAN	VDAC2
P45973	CBX5_HUMAN	CBX5
P46020	KPB1_HUMAN	PHKA1
P46060	RAGP1_HUMAN	RANGAP1
P46087	NOP2_HUMAN	NOP2
P46109	CRKL_HUMAN	CRKL
P46379	BAG6_HUMAN	BAG6
P46459	NSF_HUMAN	NSF
P46776	RL27A_HUMAN	RPL27A
P46777	RL5_HUMAN	RPL5
P46778	RL21_HUMAN	RPL21
P46779	RL28_HUMAN	RPL28
P46781	RS9_HUMAN	RPS9
P46782	RS5_HUMAN	RPS5
P46783	RS10_HUMAN	RPS10
P46977	STT3A_HUMAN	STT3A
P47755	CAZA2_HUMAN	CAPZA2
P47756	CAPZB_HUMAN	CAPZB
P47897	SYQ_HUMAN	QARS1
P47914	RL29_HUMAN	RPL29
P48047	ATPO_HUMAN	ATP5PO
P48444	COPD_HUMAN	ARCN1
P48507	GSH0_HUMAN	GCLM
P48556	PSMD8_HUMAN	PSMD8
P48634	PRC2A_HUMAN	PRRC2A
P48637	GSHB_HUMAN	GSS
P48643	TCPE_HUMAN	CCT5
P49006	MRP_HUMAN	MARCKSL1
P49207	RL34_HUMAN	RPL34
P49257	LMAN1_HUMAN	LMAN1
P49321	NASP_HUMAN	NASP
P49327	FAS_HUMAN	FASN
P49368	TCPG_HUMAN	CCT3
P49406	RM19_HUMAN	MRPL19
P49411	EFTU_HUMAN	TUFM
P49458	SRP09_HUMAN	SRP9
P49642	PRI1_HUMAN	PRIM1
P49711	CTCF_HUMAN	CTCF
P49720	PSB3_HUMAN	PSMB3
P49721	PSB2_HUMAN	PSMB2
P49736	MCM2_HUMAN	MCM2
P49756	RBM25_HUMAN	RBM25
P49770	EI2BB_HUMAN	EIF2B2
P49790	NU153_HUMAN	NUP153
P49915	GUAA_HUMAN	GMPS
P50402	EMD_HUMAN	EMD
P50579	MAP2_HUMAN	METAP2
P50747	BPL1_HUMAN	HLCS
P50750	CDK9_HUMAN	CDK9
P50914	RL14_HUMAN	RPL14
P50990	TCPQ_HUMAN	CCT8
P50991	TCPD_HUMAN	CCT4
P51114	FXR1_HUMAN	FXR1
P51398	RT29_HUMAN	DAP3
P51532	SMCA4_HUMAN	SMARCA4
P51571	SSRD_HUMAN	SSR4
P51572	BAP31_HUMAN	BCAP31
P51610	HCFC1_HUMAN	HCFC1
P51617	IRAK1_HUMAN	IRAK1
P51648	AL3A2_HUMAN	ALDH3A2
P51665	PSMD7_HUMAN	PSMD7
P51808	DYLT3_HUMAN	DYNLT3
P51858	HDGF_HUMAN	HDGF
P51970	NDUA8_HUMAN	NDUFA8
P51991	ROA3_HUMAN	HNRNPA3
P52179	MYOM1_HUMAN	MYOM1
P52272	HNRPM_HUMAN	HNRNPM
P52292	IMA1_HUMAN	KPNA2
P52294	IMA5_HUMAN	KPNA1
P52298	NCBP2_HUMAN	NCBP2
P52434	RPAB3_HUMAN	POLR2H
P52565	GDIR1_HUMAN	ARHGDIA
P52597	HNRPF_HUMAN	HNRNPF
P52732	KIF11_HUMAN	KIF11
P52815	RM12_HUMAN	MRPL12
P52907	CAZA1_HUMAN	CAPZA1
P53004	BIEA_HUMAN	BLVRA
P53041	PPP5_HUMAN	PPP5C
P53396	ACLY_HUMAN	ACLY
P53618	COPB_HUMAN	COPB1
P53621	COPA_HUMAN	COPA
P54105	ICLN_HUMAN	CLNS1A
P54136	SYRC_HUMAN	RARS1
P54577	SYYC_HUMAN	YARS1
P54687	BCAT1_HUMAN	BCAT1
P54727	RD23B_HUMAN	RAD23B
P54886	P5CS_HUMAN	ALDH18A1
P55036	PSMD4_HUMAN	PSMD4
P55060	XPO2_HUMAN	CSE1L
P55072	TERA_HUMAN	VCP
P55081	MFAP1_HUMAN	MFAP1
P55084	ECHB_HUMAN	HADHB
P55145	MANF_HUMAN	MANF
P55196	AFAD_HUMAN	AFDN
P55199	ELL_HUMAN	ELL
P55209	NP1L1_HUMAN	NAP1L1
P55265	DSRAD_HUMAN	ADAR
P55735	SEC13_HUMAN	SEC13
P55769	NH2L1_HUMAN	SNU13
P55795	HNRH2_HUMAN	HNRNPH2
P55884	EIF3B_HUMAN	EIF3B
P56134	ATPK_HUMAN	ATP5MF
P56182	RRP1_HUMAN	RRP1
P56192	SYMC_HUMAN	MARS1
P56270	MAZ_HUMAN	MAZ
P56277	CMC4_HUMAN	CMC4
P56537	IF6_HUMAN	EIF6
P57081	WDR4_HUMAN	WDR4
P57740	NU107_HUMAN	NUP107
P58546	MTPN_HUMAN	MTPN
P60059	SC61G_HUMAN	SEC61G
P60174	TPIS_HUMAN	TPI1
P60228	EIF3E_HUMAN	EIF3E
P60468	SC61B_HUMAN	SEC61B
P60604	UB2G2_HUMAN	UBE2G2
P60660	MYL6_HUMAN	MYL6
P60709	ACTB_HUMAN	ACTB
P60842	IF4A1_HUMAN	EIF4A1
P60866	RS20_HUMAN	RPS20
P60900	PSA6_HUMAN	PSMA6
P60953	CDC42_HUMAN	CDC42
P60981	DEST_HUMAN	DSTN
P61011	SRP54_HUMAN	SRP54
P61160	ARP2_HUMAN	ACTR2
P61163	ACTZ_HUMAN	ACTR1A
P61247	RS3A_HUMAN	RPS3A
P61254	RL26_HUMAN	RPL26
P61289	PSME3_HUMAN	PSME3
P61313	RL15_HUMAN	RPL15
P61353	RL27_HUMAN	RPL27
P61513	RL37A_HUMAN	RPL37A
P61604	CH10_HUMAN	HSPE1
P61619	S61A1_HUMAN	SEC61A1
P61758	PFD3_HUMAN	VBP1
P61923	COPZ1_HUMAN	COPZ1
P61962	DCAF7_HUMAN	DCAF7
P61964	WDR5_HUMAN	WDR5
P61978	HNRPK_HUMAN	HNRNPK
P61981	1433G_HUMAN	YWHAG
P62081	RS7_HUMAN	RPS7
P62136	PP1A_HUMAN	PPP1CA
P62140	PP1B_HUMAN	PPP1CB
P62191	PRS4_HUMAN	PSMC1
P62195	PRS8_HUMAN	PSMC5
P62241	RS8_HUMAN	RPS8
P62244	RS15A_HUMAN	RPS15A
P62249	RS16_HUMAN	RPS16
P62258	1433E_HUMAN	YWHAE
P62263	RS14_HUMAN	RPS14
P62266	RS23_HUMAN	RPS23
P62269	RS18_HUMAN	RPS18
P62273	RS29_HUMAN	RPS29
P62277	RS13_HUMAN	RPS13
P62280	RS11_HUMAN	RPS11
P62304	RUXE_HUMAN	SNRPE
P62306	RUXF_HUMAN	SNRPF
P62310	LSM3_HUMAN	LSM3
P62312	LSM6_HUMAN	LSM6
P62314	SMD1_HUMAN	SNRPD1
P62316	SMD2_HUMAN	SNRPD2
P62318	SMD3_HUMAN	SNRPD3
P62328	TYB4_HUMAN	TMSB4X
P62333	PRS10_HUMAN	PSMC6
P62424	RL7A_HUMAN	RPL7A
P62633	CNBP_HUMAN	CNBP
P62701	RS4X_HUMAN	RPS4X
P62750	RL23A_HUMAN	RPL23A
P62753	RS6_HUMAN	RPS6
P62805	H4_HUMAN	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16
P62826	RAN_HUMAN	RAN
P62829	RL23_HUMAN	RPL23
P62841	RS15_HUMAN	RPS15
P62847	RS24_HUMAN	RPS24
P62851	RS25_HUMAN	RPS25
P62854	RS26_HUMAN	RPS26
P62857	RS28_HUMAN	RPS28
P62861	RS30_HUMAN	FAU
P62873	GBB1_HUMAN	GNB1
P62877	RBX1_HUMAN	RBX1
P62879	GBB2_HUMAN	GNB2
P62888	RL30_HUMAN	RPL30
P62899	RL31_HUMAN	RPL31
P62906	RL10A_HUMAN	RPL10A
P62910	RL32_HUMAN	RPL32
P62913	RL11_HUMAN	RPL11
P62917	RL8_HUMAN	RPL8
P62937	PPIA_HUMAN	PPIA
P62942	FKB1A_HUMAN	FKBP1A
P62979	RS27A_HUMAN	RPS27A
P62987	RL40_HUMAN	UBA52
P62995	TRA2B_HUMAN	TRA2B
P63104	1433Z_HUMAN	YWHAZ
P63151	2ABA_HUMAN	PPP2R2A
P63167	DYL1_HUMAN	DYNLL1
P63172	DYLT1_HUMAN	DYNLT1
P63173	RL38_HUMAN	RPL38
P63208	SKP1_HUMAN	SKP1
P63220	RS21_HUMAN	RPS21
P63241	IF5A1_HUMAN	EIF5A
P63244	RACK1_HUMAN	RACK1
P63261	ACTG_HUMAN	ACTG1
P63279	UBC9_HUMAN	UBE2I
P67775	PP2AA_HUMAN	PPP2CA
P67809	YBOX1_HUMAN	YBX1
P67870	CSK2B_HUMAN	CSNK2B
P68104	EF1A1_HUMAN	EEF1A1
P68366	TBA4A_HUMAN	TUBA4A
P68371	TBB4B_HUMAN	TUBB4B
P68400	CSK21_HUMAN	CSNK2A1
P78318	IGBP1_HUMAN	IGBP1
P78332	RBM6_HUMAN	RBM6
P78345	RPP38_HUMAN	RPP38
P78346	RPP30_HUMAN	RPP30
P78347	GTF2I_HUMAN	GTF2I
P78371	TCPB_HUMAN	CCT2
P78527	PRKDC_HUMAN	PRKDC
P78549	NTH_HUMAN	NTHL1
P81605	DCD_HUMAN	DCD
P82650	RT22_HUMAN	MRPS22
P82663	RT25_HUMAN	MRPS25
P82664	RT10_HUMAN	MRPS10
P82673	RT35_HUMAN	MRPS35
P82675	RT05_HUMAN	MRPS5
P82912	RT11_HUMAN	MRPS11
P82914	RT15_HUMAN	MRPS15
P82921	RT21_HUMAN	MRPS21
P82930	RT34_HUMAN	MRPS34
P82932	RT06_HUMAN	MRPS6
P82933	RT09_HUMAN	MRPS9
P82979	SARNP_HUMAN	SARNP
P83731	RL24_HUMAN	RPL24
P83881	RL36A_HUMAN	RPL36A
P84090	ERH_HUMAN	ERH
P84098	RL19_HUMAN	RPL19
P84103	SRSF3_HUMAN	SRSF3
P98175	RBM10_HUMAN	RBM10
P98179	RBM3_HUMAN	RBM3
Q00013	EM55_HUMAN	MPP1
Q00059	TFAM_HUMAN	TFAM
Q00325	S25A3_HUMAN	SLC25A3
Q00341	VIGLN_HUMAN	HDLBP
Q00403	TF2B_HUMAN	GTF2B
Q00577	PURA_HUMAN	PURA
Q00587	BORG5_HUMAN	CDC42EP1
Q00610	CLH1_HUMAN	CLTC
Q00839	HNRPU_HUMAN	HNRNPU
Q00987	MDM2_HUMAN	MDM2
Q01130	SRSF2_HUMAN	SRSF2
Q01433	AMPD2_HUMAN	AMPD2
Q01518	CAP1_HUMAN	CAP1
Q01650	LAT1_HUMAN	SLC7A5
Q01780	EXOSX_HUMAN	EXOSC10
Q01844	EWS_HUMAN	EWSR1
Q02413	DSG1_HUMAN	DSG1
Q02543	RL18A_HUMAN	RPL18A
Q02790	FKBP4_HUMAN	FKBP4
Q02809	PLOD1_HUMAN	PLOD1
Q02878	RL6_HUMAN	RPL6
Q02952	AKA12_HUMAN	AKAP12
Q02978	M2OM_HUMAN	SLC25A11
Q03052	PO3F1_HUMAN	POU3F1
Q03393	PTPS_HUMAN	PTS
Q04323	UBXN1_HUMAN	UBXN1
Q04637	IF4G1_HUMAN	EIF4G1
Q04726	TLE3_HUMAN	TLE3
Q04837	SSBP_HUMAN	SSBP1
Q04917	1433F_HUMAN	YWHAH
Q05639	EF1A2_HUMAN	EEF1A2
Q06265	EXOS9_HUMAN	EXOSC9
Q06432	CCG1_HUMAN	CACNG1
Q06787	FMR1_HUMAN	FMR1
Q06830	PRDX1_HUMAN	PRDX1
Q07020	RL18_HUMAN	RPL18
Q07021	C1QBP_HUMAN	C1QBP
Q07065	CKAP4_HUMAN	CKAP4
Q07666	KHDR1_HUMAN	KHDRBS1
Q07812	BAX_HUMAN	BAX
Q07866	KLC1_HUMAN	KLC1
Q07955	SRSF1_HUMAN	SRSF1
Q08170	SRSF4_HUMAN	SRSF4
Q08211	DHX9_HUMAN	DHX9
Q08379	GOGA2_HUMAN	GOLGA2
Q08554	DSC1_HUMAN	DSC1
Q08945	SSRP1_HUMAN	SSRP1
Q08AM6	VAC14_HUMAN	VAC14
Q08J23	NSUN2_HUMAN	NSUN2
Q09028	RBBP4_HUMAN	RBBP4
Q09161	NCBP1_HUMAN	NCBP1
Q0VF96	CGNL1_HUMAN	CGNL1
Q10567	AP1B1_HUMAN	AP1B1
Q10570	CPSF1_HUMAN	CPSF1
Q10713	MPPA_HUMAN	PMPCA
Q12768	WASC5_HUMAN	WASHC5
Q12788	TBL3_HUMAN	TBL3
Q12824	SNF5_HUMAN	SMARCB1
Q12840	KIF5A_HUMAN	KIF5A
Q12849	GRSF1_HUMAN	GRSF1
Q12866	MERTK_HUMAN	MERTK
Q12874	SF3A3_HUMAN	SF3A3
Q12899	TRI26_HUMAN	TRIM26
Q12904	AIMP1_HUMAN	AIMP1
Q12905	ILF2_HUMAN	ILF2
Q12906	ILF3_HUMAN	ILF3
Q12926	ELAV2_HUMAN	ELAVL2
Q12931	TRAP1_HUMAN	TRAP1
Q12959	DLG1_HUMAN	DLG1
Q12996	CSTF3_HUMAN	CSTF3
Q13015	AF1Q_HUMAN	MLLT11
Q13045	FLII_HUMAN	FLII
Q13084	RM28_HUMAN	MRPL28
Q13123	RED_HUMAN	IK
Q13148	TADBP_HUMAN	TARDBP
Q13151	ROA0_HUMAN	HNRNPA0
Q13155	AIMP2_HUMAN	AIMP2
Q13162	PRDX4_HUMAN	PRDX4
Q13185	CBX3_HUMAN	CBX3
Q13200	PSMD2_HUMAN	PSMD2
Q13206	DDX10_HUMAN	DDX10
Q13217	DNJC3_HUMAN	DNAJC3
Q13242	SRSF9_HUMAN	SRSF9
Q13243	SRSF5_HUMAN	SRSF5
Q13247	SRSF6_HUMAN	SRSF6
Q13257	MD2L1_HUMAN	MAD2L1
Q13263	TIF1B_HUMAN	TRIM28
Q13283	G3BP1_HUMAN	G3BP1
Q13310	PABP4_HUMAN	PABPC4
Q13325	IFIT5_HUMAN	IFIT5
Q13330	MTA1_HUMAN	MTA1
Q13347	EIF3I_HUMAN	EIF3I
Q13371	PHLP_HUMAN	PDCL
Q13405	RM49_HUMAN	MRPL49
Q13409	DC1I2_HUMAN	DYNC1I2
Q13428	TCOF_HUMAN	TCOF1
Q13435	SF3B2_HUMAN	SF3B2
Q13451	FKBP5_HUMAN	FKBP5
Q13501	SQSTM_HUMAN	SQSTM1
Q13509	TBB3_HUMAN	TUBB3
Q13523	PRP4K_HUMAN	PRP4K
Q13541	4EBP1_HUMAN	EIF4EBP1
Q13547	HDAC1_HUMAN	HDAC1
Q13561	DCTN2_HUMAN	DCTN2
Q13573	SNW1_HUMAN	SNW1
Q13595	TRA2A_HUMAN	TRA2A
Q13601	KRR1_HUMAN	KRR1
Q13610	PWP1_HUMAN	PWP1
Q13613	MTMR1_HUMAN	MTMR1
Q13616	CUL1_HUMAN	CUL1
Q13617	CUL2_HUMAN	CUL2
Q13619	CUL4A_HUMAN	CUL4A
Q13620	CUL4B_HUMAN	CUL4B
Q13685	AAMP_HUMAN	AAMP
Q13838	DX39B_HUMAN	DDX39B
Q13868	EXOS2_HUMAN	EXOSC2
Q13885	TBB2A_HUMAN	TUBB2A
Q13895	BYST_HUMAN	BYSL
Q13952	NFYC_HUMAN	NFYC
Q14008	CKAP5_HUMAN	CKAP5
Q14011	CIRBP_HUMAN	CIRBP
Q14061	COX17_HUMAN	COX17
Q14103	HNRPD_HUMAN	HNRNPD
Q14152	EIF3A_HUMAN	EIF3A
Q14157	UBP2L_HUMAN	UBAP2L
Q14165	MLEC_HUMAN	MLEC
Q14197	ICT1_HUMAN	MRPL58
Q14203	DCTN1_HUMAN	DCTN1
Q14204	DYHC1_HUMAN	DYNC1H1
Q14232	EI2BA_HUMAN	EIF2B1
Q14244	MAP7_HUMAN	MAP7
Q14247	SRC8_HUMAN	CTTN
Q14257	RCN2_HUMAN	RCN2
Q14318	FKBP8_HUMAN	FKBP8
Q14331	FRG1_HUMAN	FRG1
Q14444	CAPR1_HUMAN	CAPRIN1
Q14493	SLBP_HUMAN	SLBP
Q14498	RBM39_HUMAN	RBM39
Q14566	MCM6_HUMAN	MCM6
Q14657	LAGE3_HUMAN	LAGE3
Q14669	TRIPC_HUMAN	TRIP12
Q14671	PUM1_HUMAN	PUM1
Q14683	SMC1A_HUMAN	SMC1A
Q14684	RRP1B_HUMAN	RRP1B
Q14697	GANAB_HUMAN	GANAB
Q14739	LBR_HUMAN	LBR
Q147X3	NAA30_HUMAN	NAA30
Q14839	CHD4_HUMAN	CHD4
Q14974	IMB1_HUMAN	KPNB1
Q14978	NOLC1_HUMAN	NOLC1
Q14997	PSME4_HUMAN	PSME4
